"Stage","Session Number","Session Heading (Topic)","Slide Number","Slide Title","Slide Bullet Point"
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Digital Marketing: Lead Generation Funnels."
"","27","Cybersecurity","9","Resume Writing & Portfolio Design for Engineers","Analyze core parameters and hardware metrics for Cybersecurity."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Resume Writing & Portfolio Design for Engineers."
"","27","Cybersecurity","10","Practical Lab: Client Quotation Workshop","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","28","Troubleshooting & Maintenance","1","Title Slide - Troubleshooting & Maintenance","Identifying fault loop pathways using multimeter diagnostic tests."
"","","","","","Resolving IP conflicts and packet dropouts in network lines."
"","","","","","Diagnosing video noise, ground loops, and signal latency bugs."
"","28","Troubleshooting & Maintenance","2","Business Models & Service Offerings","Analyze core parameters and hardware metrics for Troubleshooting & Maintenance."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Business Models & Service Offerings."
"","28","Troubleshooting & Maintenance","3","Performing Effective Site Surveys","Analyze core parameters and hardware metrics for Troubleshooting & Maintenance."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Performing Effective Site Surveys."
"","28","Troubleshooting & Maintenance","4","Writing Professional Bill of Quantities (BOQ)","Analyze core parameters and hardware metrics for Troubleshooting & Maintenance."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Writing Professional Bill of Quantities (BOQ)."
"","28","Troubleshooting & Maintenance","5","Project Management: Scheduling & Gantt Charts","Analyze core parameters and hardware metrics for Troubleshooting & Maintenance."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Project Management: Scheduling & Gantt Charts."
"","28","Troubleshooting & Maintenance","6","SLA Maintenance Contracts & AMCs","Analyze core parameters and hardware metrics for Troubleshooting & Maintenance."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for SLA Maintenance Contracts & AMCs."
"","28","Troubleshooting & Maintenance","7","Value Engineering & Negotiation tactics","Analyze core parameters and hardware metrics for Troubleshooting & Maintenance."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Value Engineering & Negotiation tactics."
"","28","Troubleshooting & Maintenance","8","Digital Marketing: Lead Generation Funnels","Analyze core parameters and hardware metrics for Troubleshooting & Maintenance."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Digital Marketing: Lead Generation Funnels."
"","28","Troubleshooting & Maintenance","9","Resume Writing & Portfolio Design for Engineers","Analyze core parameters and hardware metrics for Troubleshooting & Maintenance."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Resume Writing & Portfolio Design for Engineers."
"","28","Troubleshooting & Maintenance","10","Practical Lab: Client Quotation Workshop","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"Stage 7: Hotel Locks & Smart Locks","29","Video Door Phone","1","Title Slide - Video Door Phone","Analyze core parameters and hardware metrics for Video Door Phone."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Video Door Phone."
"","29","Video Door Phone","2","VDP Cabling & 2-Wire vs IP Models","Analyze core parameters and hardware metrics for Video Door Phone."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for VDP Cabling & 2-Wire vs IP Models."
"","29","Video Door Phone","3","Outdoor Panel Mounting & Camera Setup","Analyze core parameters and hardware metrics for Video Door Phone."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Outdoor Panel Mounting & Camera Setup."
"","29","Video Door Phone","4","Indoor Monitor Config & Ring Profiles","Analyze core parameters and hardware metrics for Video Door Phone."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Indoor Monitor Config & Ring Profiles."
"","29","Video Door Phone","5","Lock Actuators: Wet vs Dry Relays","Analyze core parameters and hardware metrics for Video Door Phone."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Lock Actuators: Wet vs Dry Relays."
"","29","Video Door Phone","6","Solenoid & Magnetic Lock Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","29","Video Door Phone","7","Multi-Apartment System Routing","Analyze core parameters and hardware metrics for Video Door Phone."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Multi-Apartment System Routing."
"","29","Video Door Phone","8","Mobile App Integration & Gateways","Analyze core parameters and hardware metrics for Video Door Phone."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Mobile App Integration & Gateways."
"","29","Video Door Phone","9","Diagnosing Audio Noise & Video Snow","Analyze core parameters and hardware metrics for Video Door Phone."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Diagnosing Audio Noise & Video Snow."
"","29","Video Door Phone","10","Practical Lab: Video Intercom Commissioning","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","30","Access Control","1","Title Slide - Access Control","Analyze core parameters and hardware metrics for Access Control."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Access Control."
